X,Y,fid,id,left,top,right,bottom,row_index,col_index,ELEV_1
183422.790326637,5031761.41821422,114,114,183172.790326637,5032011.41821422,183672.790326637,5031511.41821422,14,3,275.773040771484
183422.790326637,5031261.41821422,115,115,183172.790326637,5031511.41821422,183672.790326637,5031011.41821422,15,3,307.248260498047
183422.790326637,5030761.41821422,116,116,183172.790326637,5031011.41821422,183672.790326637,5030511.41821422,16,3,309.062896728516
183422.790326637,5030261.41821422,117,117,183172.790326637,5030511.41821422,183672.790326637,5030011.41821422,17,3,303.621337890625
183422.790326637,5029761.41821422,118,118,183172.790326637,5030011.41821422,183672.790326637,5029511.41821422,18,3,292.504821777344
183422.790326637,5029261.41821422,119,119,183172.790326637,5029511.41821422,183672.790326637,5029011.41821422,19,3,288.227142333984
183422.790326637,5028761.41821422,120,120,183172.790326637,5029011.41821422,183672.790326637,5028511.41821422,20,3,293.733337402344
183422.790326637,5028261.41821422,121,121,183172.790326637,5028511.41821422,183672.790326637,5028011.41821422,21,3,288.424926757812
183422.790326637,5027761.41821422,122,122,183172.790326637,5028011.41821422,183672.790326637,5027511.41821422,22,3,282.265075683594
183422.790326637,5027261.41821422,123,123,183172.790326637,5027511.41821422,183672.790326637,5027011.41821422,23,3,285.737518310547
183422.790326637,5026761.41821422,124,124,183172.790326637,5027011.41821422,183672.790326637,5026511.41821422,24,3,270.706451416016
183422.790326637,5026261.41821422,125,125,183172.790326637,5026511.41821422,183672.790326637,5026011.41821422,25,3,257.445220947266
183422.790326637,5025761.41821422,126,126,183172.790326637,5026011.41821422,183672.790326637,5025511.41821422,26,3,239.64533996582
183422.790326637,5025261.41821422,127,127,183172.790326637,5025511.41821422,183672.790326637,5025011.41821422,27,3,224.87663269043
183422.790326637,5024761.41821422,128,128,183172.790326637,5025011.41821422,183672.790326637,5024511.41821422,28,3,211.073394775391
183422.790326637,5024261.41821422,129,129,183172.790326637,5024511.41821422,183672.790326637,5024011.41821422,29,3,199.270645141602
183422.790326637,5023761.41821422,130,130,183172.790326637,5024011.41821422,183672.790326637,5023511.41821422,30,3,199.675216674805
183422.790326637,5023261.41821422,131,131,183172.790326637,5023511.41821422,183672.790326637,5023011.41821422,31,3,196.585845947266
183422.790326637,5022761.41821422,132,132,183172.790326637,5023011.41821422,183672.790326637,5022511.41821422,32,3,197.453308105469
183922.790326637,5038761.41821422,133,133,183672.790326637,5039011.41821422,184172.790326637,5038511.41821422,0,4,263.527618408203
183922.790326637,5038261.41821422,134,134,183672.790326637,5038511.41821422,184172.790326637,5038011.41821422,1,4,261.866516113281
183922.790326637,5037761.41821422,135,135,183672.790326637,5038011.41821422,184172.790326637,5037511.41821422,2,4,252.526550292969
183922.790326637,5037261.41821422,136,136,183672.790326637,5037511.41821422,184172.790326637,5037011.41821422,3,4,249.419342041016
183922.790326637,5036761.41821422,137,137,183672.790326637,5037011.41821422,184172.790326637,5036511.41821422,4,4,248.392471313477
183922.790326637,5036261.41821422,138,138,183672.790326637,5036511.41821422,184172.790326637,5036011.41821422,5,4,251.847442626953
183922.790326637,5035761.41821422,139,139,183672.790326637,5036011.41821422,184172.790326637,5035511.41821422,6,4,251.265930175781
183922.790326637,5035261.41821422,140,140,183672.790326637,5035511.41821422,184172.790326637,5035011.41821422,7,4,251.837310791016
183922.790326637,5034761.41821422,141,141,183672.790326637,5035011.41821422,184172.790326637,5034511.41821422,8,4,254.189987182617
183922.790326637,5034261.41821422,142,142,183672.790326637,5034511.41821422,184172.790326637,5034011.41821422,9,4,243.79508972168
183922.790326637,5033761.41821422,143,143,183672.790326637,5034011.41821422,184172.790326637,5033511.41821422,10,4,241.50537109375
183922.790326637,5033261.41821422,144,144,183672.790326637,5033511.41821422,184172.790326637,5033011.41821422,11,4,250.881790161133
183922.790326637,5032761.41821422,145,145,183672.790326637,5033011.41821422,184172.790326637,5032511.41821422,12,4,263.48193359375
183922.790326637,5032261.41821422,146,146,183672.790326637,5032511.41821422,184172.790326637,5032011.41821422,13,4,275.827331542969
183922.790326637,5031761.41821422,147,147,183672.790326637,5032011.41821422,184172.790326637,5031511.41821422,14,4,288.931610107422
183922.790326637,5031261.41821422,148,148,183672.790326637,5031511.41821422,184172.790326637,5031011.41821422,15,4,287.223876953125
183922.790326637,5030761.41821422,149,149,183672.790326637,5031011.41821422,184172.790326637,5030511.41821422,16,4,286.162445068359
183922.790326637,5030261.41821422,150,150,183672.790326637,5030511.41821422,184172.790326637,5030011.41821422,17,4,287.032684326172
183922.790326637,5029761.41821422,151,151,183672.790326637,5030011.41821422,184172.790326637,5029511.41821422,18,4,286.246185302734
183922.790326637,5029261.41821422,152,152,183672.790326637,5029511.41821422,184172.790326637,5029011.41821422,19,4,278.075653076172
183922.790326637,5028761.41821422,153,153,183672.790326637,5029011.41821422,184172.790326637,5028511.41821422,20,4,293.496368408203
183922.790326637,5028261.41821422,154,154,183672.790326637,5028511.41821422,184172.790326637,5028011.41821422,21,4,275.903381347656
183922.790326637,5027761.41821422,155,155,183672.790326637,5028011.41821422,184172.790326637,5027511.41821422,22,4,267.98291015625
183922.790326637,5027261.41821422,156,156,183672.790326637,5027511.41821422,184172.790326637,5027011.41821422,23,4,272.979125976562
183922.790326637,5026761.41821422,157,157,183672.790326637,5027011.41821422,184172.790326637,5026511.41821422,24,4,270.109802246094
183922.790326637,5026261.41821422,158,158,183672.790326637,5026511.41821422,184172.790326637,5026011.41821422,25,4,255.410552978516
183922.790326637,5025761.41821422,159,159,183672.790326637,5026011.41821422,184172.790326637,5025511.41821422,26,4,238.097137451172
183922.790326637,5025261.41821422,160,160,183672.790326637,5025511.41821422,184172.790326637,5025011.41821422,27,4,227.934341430664
183922.790326637,5024761.41821422,161,161,183672.790326637,5025011.41821422,184172.790326637,5024511.41821422,28,4,211.208953857422
183922.790326637,5024261.41821422,162,162,183672.790326637,5024511.41821422,184172.790326637,5024011.41821422,29,4,204.505142211914
