id,x,y,estimation,variance
293,185922.790326,5024761.418214,3.0472558597833674,5.4385964738111445
294,185922.790326,5024261.418214,3.0358973125384843,5.434527351914705
295,185922.790326,5023761.418214,3.0358054311970233,5.43447788675192
296,185922.790326,5023261.418214,3.047876082953707,5.440824880612615
297,185922.790326,5022761.418214,3.067369850976448,5.450431020386255
298,186422.790326,5038761.418214,3.1004023857178487,5.464892590558375
299,186422.790326,5038261.418214,3.1004023857178487,5.464892590558375
300,186422.790326,5037761.418214,3.1004023857178487,5.464892590558375
301,186422.790326,5037261.418214,3.1004023857178487,5.464892590558375
302,186422.790326,5036761.418214,3.1004023857178487,5.464892590558375
303,186422.790326,5036261.418214,3.1004023857178487,5.464892590558375
304,186422.790326,5035761.418214,3.1004023857178487,5.464892590558375
305,186422.790326,5035261.418214,3.1004023857178487,5.464892590558375
306,186422.790326,5034761.418214,3.1004023857178487,5.464892590558375
307,186422.790326,5034261.418214,3.1004023857178487,5.464892590558375
308,186422.790326,5033761.418214,3.1004023857178487,5.464892590558375
309,186422.790326,5033261.418214,3.1004023857178487,5.464892590558375
310,186422.790326,5032761.418214,3.1004023857178487,5.464892590558375
311,186422.790326,5032261.418214,3.1004023857178487,5.464892590558375
312,186422.790326,5031761.418214,3.1004023857178487,5.464892590558375
313,186422.790326,5031261.418214,3.098040522621906,5.4640181690918
314,186422.790326,5030761.418214,3.084582699457096,5.458849955277131
315,186422.790326,5030261.418214,3.0658863024387064,5.4511453565667916
316,186422.790326,5029761.418214,3.049753028668524,5.444006635353886
317,186422.790326,5029261.418214,3.042069049856197,5.439124274493602
318,186422.790326,5028761.418214,3.04387959732206,5.432527580252138
319,186422.790326,5028261.418214,3.053947319058793,5.423419045430668
320,186422.790326,5027761.418214,3.0675522448682027,5.411268429730143
321,186422.790326,5027261.418214,3.078523277975326,5.399178574805609
322,186422.790326,5026761.418214,3.0811947426468627,5.393653397640534
323,186422.790326,5026261.418214,3.0829338333444722,5.401597835091882
324,186422.790326,5025761.418214,3.086688232543296,5.419554779239118
325,186422.790326,5025261.418214,3.0856764898772964,5.436886875582209
326,186422.790326,5024761.418214,3.0816891103899597,5.448681087127171
327,186422.790326,5024261.418214,3.07868606302135,5.454558990677178
328,186422.790326,5023761.418214,3.079109710866587,5.455832365873274
329,186422.790326,5023261.418214,3.084936352831171,5.458405982970778
330,186422.790326,5022761.418214,3.093575801106213,5.462091188809731
331,186922.790326,5038761.418214,3.1004023857178487,5.464892590558375
332,186922.790326,5038261.418214,3.1004023857178487,5.464892590558375
333,186922.790326,5037761.418214,3.1004023857178487,5.464892590558375
334,186922.790326,5037261.418214,3.1004023857178487,5.464892590558375
335,186922.790326,5036761.418214,3.1004023857178487,5.464892590558375
336,186922.790326,5036261.418214,3.1004023857178487,5.464892590558375
337,186922.790326,5035761.418214,3.1004023857178487,5.464892590558375
338,186922.790326,5035261.418214,3.1004023857178487,5.464892590558375
339,186922.790326,5034761.418214,3.1004023857178487,5.464892590558375
340,186922.790326,5034261.418214,3.1004023857178487,5.464892590558375
341,186922.790326,5033761.418214,3.1004023857178487,5.464892590558375
342,186922.790326,5033261.418214,3.1004023857178487,5.464892590558375
343,186922.790326,5032761.418214,3.1004023857178487,5.464892590558375
344,186922.790326,5032261.418214,3.1004023857178487,5.464892590558375
345,186922.790326,5031761.418214,3.1004023857178487,5.464892590558375
346,186922.790326,5031261.418214,3.1004023857178487,5.464892590558375
347,186922.790326,5030761.418214,3.0998623622839476,5.464693518772775
348,186922.790326,5030261.418214,3.0944721702128115,5.462678608396369
349,186922.790326,5029761.418214,3.087961662119009,5.460163923703636
350,186922.790326,5029261.418214,3.082885726318166,5.453392093050767
351,186922.790326,5028761.418214,3.080144874584249,5.438674446507535
352,186922.790326,5028261.418214,3.0793853190251292,5.415020982756026
353,186922.790326,5027761.418214,3.0777805038964168,5.382838454015041
354,186922.790326,5027261.418214,3.072518807013265,5.349575663207881
355,186922.790326,5026761.418214,3.069936324261929,5.335025316569928
356,186922.790326,5026261.418214,3.072865634751932,5.351479802292226
357,186922.790326,5025761.418214,3.079516743322328,5.385705992498509
358,186922.790326,5025261.418214,3.0871656974038086,5.419686733255131
359,186922.790326,5024761.418214,3.0938295775594438,5.4449856400395555
360,186922.790326,5024261.418214,3.097732920195171,5.459601179164816
361,186922.790326,5023761.418214,3.0994484257490633,5.464506981520981
362,186922.790326,5023261.418214,3.100264818232739,5.464837100685167
363,186922.790326,5022761.418214,3.1004023857178487,5.464892590558375
364,187422.790326,5038761.418214,3.1004023857178487,5.464892590558375
365,187422.790326,5038261.418214,3.1004023857178487,5.464892590558375
366,187422.790326,5037761.418214,3.1004023857178487,5.464892590558375
367,187422.790326,5037261.418214,3.1004023857178487,5.464892590558375
368,187422.790326,5036761.418214,3.1004023857178487,5.464892590558375
369,187422.790326,5036261.418214,3.1004023857178487,5.464892590558375
370,187422.790326,5035761.418214,3.1004023857178487,5.464892590558375
371,187422.790326,5035261.418214,3.1004023857178487,5.464892590558375
372,187422.790326,5034761.418214,3.1004023857178487,5.464892590558375
373,187422.790326,5034261.418214,3.1004023857178487,5.464892590558375
374,187422.790326,5033761.418214,3.1004023857178487,5.464892590558375
